Date,Close
2020-01-02,13689.2314453125
2020-01-03,13884.7861328125
2020-01-04,13884.7861328125
2020-01-05,13884.7861328125
2020-01-06,13934.31640625
2020-01-07,13926.5
2020-01-08,13867.236328125
2020-01-09,13886.939453125
2020-01-10,13827.560546875
2020-01-11,13827.560546875
2020-01-12,13827.560546875
2020-01-13,13522.4345703125
2020-01-14,13665.3046875
2020-01-15,13668.0400390625
2020-01-16,13665.0966796875
2020-01-17,13623.0
2020-01-18,13623.0
2020-01-19,13623.0
2020-01-20,13456.98828125
2020-01-21,13615.0
2020-01-22,13651.0
2020-01-23,13626.38671875
2020-01-24,13609.1884765625
2020-01-25,13609.1884765625
2020-01-26,13609.1884765625
2020-01-27,13711.9736328125
2020-01-28,13213.240234375
2020-01-29,13634.0
2020-01-30,13614.0146484375
2020-01-31,13643.1806640625
2020-02-01,13643.1806640625
2020-02-02,13643.1806640625
2020-02-03,13633.126953125
2020-02-04,13735.5
2020-02-05,13702.4072265625
2020-02-06,13668.267578125
2020-02-07,13698.0
2020-02-08,13698.0
2020-02-09,13698.0
2020-02-10,13675.853515625
2020-02-11,13691.58984375
2020-02-12,13657.5537109375
2020-02-13,13500.7373046875
2020-02-14,13695.400390625
2020-02-15,13695.400390625
2020-02-16,13695.400390625
2020-02-17,13681.2900390625
2020-02-18,13649.2412109375
2020-02-19,13768.0
2020-02-20,13762.0
2020-02-21,13703.482421875
2020-02-22,13703.482421875
2020-02-23,13703.482421875
2020-02-24,13771.486328125
2020-02-25,13879.9296875
2020-02-26,14056.5
2020-02-27,13931.0
2020-02-28,14316.0
2020-02-29,14316.0
2020-03-01,14316.0
2020-03-02,13971.9619140625
2020-03-03,14220.0
2020-03-04,14199.5
2020-03-05,14256.0
2020-03-06,14309.599609375
2020-03-07,14309.599609375
2020-03-08,14309.599609375
2020-03-09,14251.5390625
2020-03-10,14094.818359375
2020-03-11,14272.900390625
2020-03-12,14526.0
2020-03-13,14850.0
2020-03-14,14850.0
2020-03-15,14850.0
2020-03-16,14635.0224609375
2020-03-17,15192.0
2020-03-18,14955.7880859375
2020-03-19,15474.5
2020-03-20,15908.0
2020-03-21,15908.0
2020-03-22,15908.0
2020-03-23,15766.2470703125
2020-03-24,16504.80078125
2020-03-25,16216.5
2020-03-26,16447.720703125
2020-03-27,16218.63671875
2020-03-28,16218.63671875
2020-03-29,16218.63671875
2020-03-30,16005.3349609375
2020-03-31,16346.9619140625
2020-04-01,16277.943359375
2020-04-02,16412.80859375
2020-04-03,16441.263671875
2020-04-04,16441.263671875
2020-04-05,16441.263671875
2020-04-06,16418.0
2020-04-07,16364.6484375
2020-04-08,16225.0
2020-04-09,16159.376953125
2020-04-10,15811.9677734375
2020-04-11,15811.9677734375
2020-04-12,15811.9677734375
2020-04-13,15800.0
2020-04-14,15751.0
2020-04-15,15578.3466796875
2020-04-16,15887.5
2020-04-17,15568.3388671875
2020-04-18,15568.3388671875
2020-04-19,15568.3388671875
